이차돌 삼송신원점,음식점,경기도 고양시 덕양구 신원로 12-11 현프라자 1층 (신원동),02)381-8866,차돌박이 외 소고기(수입) / 5% 할인
스시메이진(화정점),음식점,경기도 고양시 덕양구 화정로 52 세이브존 6층 (화정동),031)968-7338,스시뷔페 / 10%할인
SK텔레콤 공식인증대리점,휴대폰,경기도 고양시 덕양구 혜음로 66  (고양동),070)7436-2580,휴대폰 및 주변기기 10% 할인
아트안경,안경점,경기도 고양시 덕양구 혜음로 43  (고양동),031)963-4395,"안경, 콘텍트렌즈  50% 할인, 안경테 피팅 무료"
초한의원,한의원,경기도 고양시 덕양구 화신로272번길 3  (화정동),031)965-3102,의료비 할인
ABC마트,신발,경기도 고양시 덕양구 화신로260번길 47  (화정동),031)972-3600,5% 할인
드림디포,문구,경기도 고양시 덕양구 화신로260번길 57 지하 (화정동),031)979-0020,10% 할인
북스리브로,도서,경기도 고양시 덕양구 화신로260번길 57 지하 (화정동),031)979-6188,10% 할인
배다골테마파크,레져,경기도 고양시 덕양구 배다골길 131  (화정동),031)970-6330,20% 할인(입장료)
람세스모텔,숙박,경기도 고양시 덕양구 화신로260번길 20  (화정동),031)972-2780,10% 할인
준당구장,당구장,경기도 고양시 덕양구 화신로272번길 3  (화정동),031)970-0454,20% 할인
루키당구장,당구장,경기도 고양시 덕양구 화신로260번길 37  (화정동),031)970-0726,15% 할인
아이센스리그 PC방,PC방,경기도 고양시 덕양구 행신로 268 5층 (행신동),000)000-0000,"10,000원 충전시 음료제공"
쿠커존 PC방,PC방,경기도 고양시 덕양구 화신로272번길 30 401호 (화정동),000)000-0000,"10,000원 충전시 음료제공"
ㅋㅋㅋ PC방,PC방,경기도 고양시 덕양구 화신로272번길 58 B166-1호 (화정동),000)000-0000,"10,000원 충전시 음료제공"
제닉스 아레나 PC방,PC방,경기도 고양시 덕양구 화신로260번길 31 501호 (화정동),000)000-0000,"10,000원 충전시 음료제공"
아레나 X PC방,PC방,경기도 고양시 덕양구 화신로260번길 36 205호 (화정동),000)000-0000,"10,000원 충전시 음료제공"
샹떼PC방 화정점,pc방,경기도 고양시 덕양구 화신로260번길 47 5층 (화정동),000)000-0000,"10,000원 충전시 음료제공"
라인업 화정점,PC방,경기도 고양시 덕양구 화신로 278 지하 1층 (화정동),031)987-0987,"10,000원 충전시 음료제공"
NIC PC방,PC방,경기도 고양시 덕양구 화신로260번길 41 4층 (화정동),031)979-6846,"10,000원 충전시 음료제공"
3POP 화정점,PC방,경기도 고양시 덕양구 화신로272번길 38 6층 (화정동),070)4252-0232,"10,000원 충전시 음료제공"
애플노래방,노래연습장,경기도 고양시 덕양구 화신로260번길 47 4층 (화정동),031)938-5123,20% 할인
소리야노래방,노래연습장,경기도 고양시 덕양구 화신로260번길 47 7층 (화정동),031)970-0507,50% 할인
한방장수족발 원흥점,음식점,경기도 고양시 덕양구 삼원안길 44  (원흥동),031)969-3762,10% 할인
도희동태탕찜 왕해물찜,음식점,경기도 고양시 덕양구 동산1로 6  (동산동),02)381-4492,10% 할인
네네치킨,음식점,"경기도 고양시 덕양구 권율대로 831  (신원동, 신원마을 호반베르디움 9단지)",02)381-4492,10% 할인
화개장터,음식점,"경기도 고양시 덕양구 무원로 22 109호 (행신동, 행신동센스빌2차)",031)938-9121,빈대떡 / 10% 할인
코키노 떡볶이,음식점,경기도 고양시 덕양구 중앙로 442  (행신동),031)930-7600,10% 할인
호남식당,음식점,경기도 고양시 덕양구 화랑로165번길 10  (화전동),02)3158-4420,백반 / 10% 할인
피자매니,음식점,경기도 고양시 덕양구 화랑로 33  (화전동),02)3158-5614,10% 할인
준희네 유통,음식점,경기도 고양시 덕양구 화랑로165번길 12  (화전동),02)3158-3983,삼겹살 / 10% 할인
북한산 효자가든,음식점,경기도 고양시 덕양구 북한산로 364-27  (효자동),02)3157-7757,"오리, 닭볶음탕 / 10% 할인"
나주식당,음식점,경기도 고양시 덕양구 화랑로165번길 13  (화전동),02)3159-9055,백반 / 10% 할인
천하불닭발,음식점,경기도 고양시 덕양구 호국로789번길 28  (주교동),031)966-5892,10% 할인
이오자장,음식점,"경기도 고양시 덕양구 호국로 822 102호 (성사동, 명지캐럿86)",031)965-5296,"짜장면, 짬뽕 / 10% 할인"
